P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10318859A0535|14 22|calpeptin
P08683106A0374|15 23|IFN-alpha
P09197408A0126|15 22|facB gene
P01542667A0125|15 23|IFN-gamma
P02164637A0515|15 22|IRA2 gene
P07787179A0312|14 21|X1 region
P00618078A0367|14 21|lysozyme
P09136015A0529|15 22|Stellate
P01662794A0640|15 21|wt1 gene
P11117523A0650|15 22|COUP-TFI
P11278610A0902|14 20|SOCS box
P11306463A0383|14 20|C domain
P01420363A0818|16 22|AP1 site
P11550795A2583|16 23|RORgamma
P10049912T0000|16 21|RNase T
P07844201T0000|15 21|albumin
P06402859A0000|16 20|AT III
P02562825A0413|16 21|beta-2
P09417108A0000|16 21|RanBP1
P11030744A0763|16 21|Trdpm1
P10646863A0838|16 21|ICBP90
P07494244A0335|14 19|E1A243
P01537334A0507|15 19|TRP-2
P01939199A0588|16 20|TFIID
P10819327T0000|16 20|OSM-3
P09199167A0942|16 20|Sed5p
P09334330A0252|15 19|daf-3
P02236022A0000|16 20|c-myb
P07744846A1006|16 20|Bcl-2
P09111309A0674|16 20|Ets-2
P09305631A0770|16 20|BAG-1
P09507032A1144|16 20|CSF1R
P10763823A0824|16 20|mcl-1
P02982332T0001|14 18|VP-16
P08288596A0663|14 18|10(-8
P08387507A1015|15 19|Myf-5
P08361761A0174|14 18|v-Rel
P11103792A0755|16 20|c-Myc
P09446616A0780|16 20|Raf-1
P01516829A0460|15 18|GAL4
P07700361A0125|16 19|pTyr
P07565713A0634|16 19|SCS1
P09927449A0421|16 19|POG1
P10823961A0664|14 17|TRBP
P09713996A0262|16 19|MDR1
P08816472T0000|16 19|Ste4
P11336698A0075|15 18|Rsc3
P07565776A0612|15 18|HOG1
P08846775A0110|14 17|Swi4
P07739566A1076|16 19|BSAP
P09288848A0780|15 18|HbO2
P02645276T0088|15 18|RIP1
P09278441A1777|16 19|CARP
P09892021A0712|16 19|PTTG
P09852752A0950|15 18|ANCA
P09949160A0600|15 18|Epo1
P07730336A0606|15 18|CREM
P09155024A0955|16 19|EFG1
P10959838A0153|16 19|Fhit
P08918885A1087|15 18|dig2
P01653236A0895|14 16|p50
P09829843A0819|15 17|CSF
P10362652A1456|16 18|Sos
P11121434A0915|15 17|Mek
P08453101A0128|16 18|PWM
P07575416A0000|15 17|PKC
P09171239A2146|16 18|RXR
P09278494A0762|15 17|Sp1
P02368931A0587|15 17|IgE
P10882850A0000|16 18|Nth
P08021177A0000|15 17|fes
P01285358A0396|15 17|AFP
P03757294A0414|14 16|PLD
P10943891A1062|15 17|U57
P10606245A0906|16 18|CDP
P08226798A1124|15 17|CaM
P11062257A0977|15 17|Vps
P10881275T0000|15 17|IgM
P09535082A0537|14 16|Paf
P11327698A0191|14 16|PKC
P09114972A1366|15 17|SOS
P10801482A0968|14 16|p65
P09687511A1091|16 18|FUS
P02176152A0896|14 15|RA
P07628451A0114|14 15|RA
P10194769A0146|15 16|1P
P07519481A1275|16 17|Sl
P09706565A1072|16 16|K
P11902781A0550|16 16|N
P08524229T0000|16 75|soybean ribulose-1,5-bisphosphate carboxylase small-subunit mRNA
P11706949T0000|16 49|insulin-like growth factor I receptors
P10585440A0204|15 48|Drosophila melanogaster FAK homologue
P02423533A1314|15 48|MAP1-specific and MAP2-specific mRNAs
P01846489A1119|15 47|picornaviral 3C-like protease domain
P11511544T0000|15 43|heat shock transcription factor 1
P07590268A0350|15 44|Drosophila melanogaster (Dm) cDNA
P09838122A0489|15 43|full-length coding cDNA sequence
P09121430A0132|17 46|mitogen-activated protein kinase
P09643548A0000|16 44|(2Fe-2S) plant-like ferredoxins
P08444345A0403|16 42|EFIA#1 amino acid (aa) sequence
P08246987A0260|15 42|protein-tyrosine kinase domain
P11435578A0760|16 43|cyclic AMP-responsive elements
P08387743A0624|16 43|wild-type 5'-regulatory region
P01744119A0757|16 42|primase recognition sequences
P08637006A0000|17 42|adenovirus E2-early promoter
P08910292T0000|16 39|small GTP-binding proteins
P07848358A0254|15 39|aspartate aminotransferase
P09609705A0895|16 38|mitochondrial bc1 complex
P09808155A0813|17 39|protein binding complexes
P06784123T0000|16 36|immunoglobulin C mu gene
P11556809A2085|17 38|CYP71D20-encoded enzyme
P07823953A0777|15 33|I kappa B alpha mutants
P08230445A0000|15 33|vpr open reading frame
P09244282A1371|16 35|pecT regulatory region
P10579722T0000|17 37|myosin-binding subunit
P11357063A1053|16 34|mammalian LHbeta gene
P07190627T0000|15 34|plasminogen activator
P11196199T0000|16 33|yeast Rad23 protein A
P10543949A0686|16 33|S1' specificity site
P10598101A0000|15 32|bZIP protein Opaque2
P10077188A1172|16 33|helicase-like genes
P07557091A0314|16 32|human serum albumin
P07797077A0842|17 33|DNA-binding domain
P09714835A0345|16 32|carboxypeptidase D
P09278454A1261|16 31|MMP-2 RE1 sequence
P10473598A0691|16 31|C-terminal region
P09023197T0000|15 30|Bacillus subtilis
P09294161A0650|15 30|wild-type protein
P10698974A0951|15 28|human STAG3 gene
P07507207A0991|17 30|IRF binding site
P01627830A0000|16 29|casein kinase-1
P10675154T0000|16 29|botulinum toxin
P08604338A0198|16 28|FLI-1 proteins
P07588608A1687|16 27|ERF repressor
P10229668A0190|15 26|cdc33 mutants
P07720572A0701|15 26|myoD promoter
P09312028A0975|17 29|RXRalphaF318A
P09800187A0100|16 27|mouse homolog
P08636031A1413|16 27|Fur repressor
P08360180A1041|16 26|barley PSI-K
P07501458A0578|15 25|C/EBP family
P10025050A1052|15 25|H2-receptor
P02026147A0000|16 25|calmodulin
P03104982A0690|15 24|hemoglobin
P00980255T0000|16 24|2-deoxy-D
P09990507A0000|16 24|ubiquitin
P11220306A1753|16 23|rsmB+ DNA
P09426183A0000|17 25|NF-kappaB
P02157141A0923|16 23|T antigen
P01967130A0645|16 23|EFIA cDNA
P11528500A0571|15 21|NRL gene
P11560509T0000|16 22|F factor
P01316680A0643|17 22|IR5 ORF
P02713310T0000|16 21|type II
P11223186A1095|17 23|oIFNtau
P00029953T0045|17 22|lipase
P09761791A0489|16 21|U1-70K
P01700272A0838|17 21|B4 RNA
P11034547A0674|15 20|NBPhox
P07754713A0227|15 19|PRP21
P09685346A0419|16 20|Pitx2
P11016954A0438|15 19|QDE-2
P10506143A0610|15 19|JNKK2
P11323716A0413|15 19|RAD23
P07829097A0000|16 20|DXS52
P08013348A0143|16 20|SHBGs
P02853799T0001|16 20|non-A
P10360454A0916|16 20|TNF-a
P10448036A0748|16 20|zf4-6
P11000203A0752|16 20|K-Rev
P09799362A1463|17 21|Azf1p
P11238405A0817|16 20|tup11
P09849961A0387|17 21|IRS-1
P10712599A0349|15 19|IRF-1
P01652372A0153|16 19|SWI5
P08909546A0810|15 18|PEA2
P09188094A0934|15 18|mcs4
P01468625A0282|16 19|LEU2
P11313946A0449|17 20|AF-6
P09792714A1408|16 19|AF-1
P02117799T0000a|16 19|OKT3
P07667097A0267|16 19|p255
P02778873A0761|16 19|CRL3
P10068637A1320|18 21|Nkx2
P02289639A0989|15 18|HbA1
P02342477A1292|15 18|UTMP
P02117799T0000b|16 19|OKT3
P09346925A0660|15 18|Grb2
P07854130A1387|16 19|PilE
P11029045A0000|17 20|Cdc2
P08643111A0855|16 19|hLL2
P10729220A0000|16 19|IGF2
P07865129A0293|16 18|ATF
P09860979A0521|17 19|Cas
P09366517A0835|17 19|WT1
P10799595A1454|15 17|CDP
P10397257A1142|16 18|CDE
P10498616A0157|15 17|Ras
P11312326A0169|14 16|RRE
P10965905A1618|17 19|Akt
P07935471A0613|17 19|HSF
P02547706A0928|16 18|ISH
P10702389A1148|15 17|RB2
P10660304A0522|16 18|Tyk
P10660676A0000|17 19|cyc
P10205176A0000|17 19|NRs
P09341193A0362|16 18|Sp1
P08631934A0000|15 17|Myb
P09622055A0207|15 17|Cbl
P08918464A0225|18 19|Ba
P09837913A0000|16 17|D2
P03759330A0713|16 17|F1
P11282394A0841|17 18|VL
P02206858A0000|17 17|C
P10501936T0000|17 70|Neurospora crassa mitochondrial outer membrane protein TOM70
P10564280A0140|16 52|tyrosine-phosphorylated nuclear protein
P02123029A0478|16 48|Raja immunoglobulin heavy chain genes
P09202859A0091|16 46|beta-human chorionic gonadotropin
P11126275A1068|17 46|anticardiolipin immunoglobulin G
P02789062A1420|16 43|NF-4FB enhancer binding protein
P02148799A0000|15 41|major negative regulatory gene
P09215891A0000|16 42|Saccharomyces cerevisiae CIN1
P09466931T0000|18 43|Drosophila nuclear receptors
P08425221A0000|16 40|cytoplasmic tyrosine kinase
P02748595A0492|17 36|baboon liver class I ADH
P11069756A2618|18 40|CRK-associated substrate
P09693035T0000|16 37|serine/threonine kinase
P03329716A0187|16 34|EGF receptor promoter
P09300697A0000|17 36|multisubunit protease
P08441379A0912|16 33|proIL-1 beta cap site
P07681513A0000|16 35|phosphodiesterase III
P07530502A0974|17 35|recombinant human SLF
P08438584T0000|16 34|coat protein promoter
P10403839A1459|17 35|bHLH/PAS family genes
P11038317A0000|17 35|GTP-binding proteins
P10688663A0207|16 33|histone tail domains
P08597596A0135|16 34|ATP-binding cassette
P02094257T0000|17 34|adenosine deaminase
P07592658A0309|18 35|DNA-binding complex
P09268652A0116|16 32|zinc finger protein
P09564917A0900|17 34|alpha2-antiplasmin
P01256410T0001|16 31|factor II molecule
P03605895A0888|16 32|carboxyhemoglobin
P07651424A0743|17 32|SSM1b transcripts
P10906176A0000|17 31|early transposon
P01779769A0000|16 29|repressor locus
P07504171A1214|16 28|Src SH2 mutants
P09271496T0000|17 30|HIV-1 integrase
P09583208A0171|17 30|creatine kinase
P01358190A0654|17 28|DR1 beta chain
P04196986T0000|18 30|transferrin II
P07651340A0286|18 30|uvsH77 mutants
P08663219A0246|16 27|rat PGS-2 gene
P01279352A1197|16 28|NF(H) promoter
P08589358A0841|16 29|erythropoietin
P09514962A0841|17 29|14-kDa protein
P01644814A0068|16 28|40-kDa protein
P02163382A0169|17 28|O7-LPS region
P08247005A0584|17 28|drs2 mutation
P02863747T0000|18 29|histone genes
P09006022A0252|17 28|gene products
P09192786T0000|17 27|human LU gene
P08839832A0729|17 28|CD30v protein
P09371622A0779|18 28|IE1 peptides
P07489502A0000|17 26|NS1 protein
P09645942A1164|16 26|plakoglobin
P07608968A0836|17 26|Tat mutants
P09784192A1027|17 26|MBP fusions
P07519447T0000|17 26|bovine gene
P01363166T0001|17 26|H2 receptor
P08093450A0688|17 26|NRF-1 motif
P08086450A0467|17 26|bovine gene
P01296815A0059|16 24|human gene
P11404016A1922|17 25|TE domains
P02076620A0548|18 27|fibrinogen
P09434185A0902|17 25|SPP1 genes
P07490770A0267|17 25|coxI genes
P08820642A0173|18 25|hrpZ gene
P10022921A0608|17 24|SIN3 gene
P09575187A1558|16 24|NF-kappaB
P08417331A0745|16 23|HIR1 gene
P11029700A0295|17 25|Os;cycH;1
P11069999A1602|16 23|U16+ gene
P09271417A0585|16 23|ERR alpha
P11071651A1308|16 23|RARalpha
P00622556A0111|16 23|collagen
P09181130A1067|17 23|Krox-20
P09582306T0000|16 22|Galphao
P08534367A0984|17 22|PTP-S4
P09671579A1168|17 22|pax2.1
P08385581A0126|16 21|REC114
P11902781A0550|18 23|O3-)-N
P09575143A1189|17 22|ZAP-70
P10727433A0560|17 22|CSF-1R
P03428274A0000|17 21|NFIII
P09670034A0340|17 21|Ddc1p
P11427329A1077|16 20|FPS-R
P00759400T0000|18 22|5-HT)
P07579704A0085|17 21|actin
P01671675A0483|17 21|pKB11
P10438607A0330|16 20|SEBP2
P01398104A0834|17 21|CBF-A
P10523319A0209|16 20|Dbp5p
P08668142A1048|17 21|hARF4
P08355696A0236|16 20|c-jun
P07687541A0992|16 19|GNRP
P10051488A1293|17 20|AP-1
P11171320A0894|17 20|p120
P06286443A0498|18 21|ACTH
P07545510A0735|16 19|cotS
P01715975A0885|17 20|CYP1
P07802655T0000|18 21|FIII
P07926748A0383|17 20|NOT1
P07791776T0000|18 21|fus1
P00909114A0000|19 21|DAN
P07487363A0447|16 18|IgE
P08290278A0374|17 19|Mad
P08771787T0000|18 20|LRP
P10526670A1828|17 19|ICE
P10620335A0749|16 18|AHR
P09148935A0805|18 20|PTK
P02026144A0741|17 19|GUS
P11278583A0873|18 20|IRS
P09000049A1341|17 19|Max
P10430944A1298|16 18|JAK
P11149472A1257|18 20|CIZ
P09393966A0190|17 19|IgH
P10102136A0220|16 18|PSA
P08394019A0695|18 20|GST
P01918010A0000|18 20|LPL
P02549343A1008|17 19|gpI
P09478921A0126|18 20|bcr
P02038784A0317|17 19|ARC
P07563072A0773|17 18|P1
P10411139A0887|17 18|U4
P08912232A0260|15 16|ML
P10872827A0000|18 19|PA
P08567847A1005|16 17|SM
P02372712A0002|16 17|TW
P11005831A0242|18 66|basic leucine zipper (bZIP)-type ABRE-binding proteins
P10381377T0000|18 54|rat SH2-containing inositol phosphatase 2
P01900194T0000|19 55|mitochondrial NADH-ubiquinone reductase
P01646157A0414|18 52|full-length alpha-GalNAc cDNA sequence
P01647656A0000|18 50|myocardial beta-adrenergic receptor
P09285789A0712|17 47|guanine nucleotide exchange factor
P07537851A0000|18 46|vascular cell adhesion molecule 1
P08661119A0085|17 44|human EP4 receptor gene sequence
P10891286A0000|18 45|myosin light chain kinase family
P09819421A0000|19 49|trans-peptidyl-prolyl isomerases
P11375392T0000|17 42|human thioredoxin reductase 1
P07948129A0297|17 42|chimeric long terminal repeat
P10721726T0000|18 43|mouse thioredoxin reductases
P10747879A0607|17 40|CCR5 cis-regulatory region
P01577740A1111|18 38|mung bean and S1 nuclease
P07601445A0207|16 37|BAT1 translation product
P09891009T0000|18 38|mouse glycolate oxidase
P07890680A1193|18 37|core DNA polymerase III
P11087141A0977|18 38|alpha1,3GT transcripts
P06185014A0642|19 37|complement factor C3c
P11179689A0000|17 33|Sry like HMG box gene
P02789062A0000|17 34|human 4F2 heavy chain
P00089778A0000|18 37|alpha 2-macroglobulin
P11207288A0897|18 36|YFV Ag-binding region
P09328341A1449|18 34|vit A2 consensus ERE
P08189498T0000|18 36|immediate-early gene
P06319740A1331|17 34|gp54 structural gene
P10725382A0398|18 34|sos2 mutant alleles
P09286115T0000|18 35|trans-acting factor
P02115572A1323|17 33|V lambda pseudogene
P01331060A0768|17 32|calcineurin A gene
P07760790A0327|17 32|MEF2 reporter gene
P07832779A0719|19 34|endoglycosidase H
P10458907A0543|17 31|mouse Rad30b mRNA
P11319098A0164|17 32|tryptophanyl tRNA
P08649440T0000|18 33|bovine IgG2--VIII
P08107167A0222|19 34|anti-B. turicatae
P00481612A1121|17 31|opiate receptors
P08962614A0000|18 32|immunoglobulin E
P09713990T0000|17 30|TP53 target gene
P07525843A0859|17 30|H-2d NP peptides
P03335398A0568|17 31|immunoglobulin G
P08861955A0927|18 31|RCC1-like motif
P07639703A1703|17 30|thyroid hormone
P10792718T0000|18 30|AfsA homologue
P08754777A1214|17 29|T3R homodimers
P02209243A0237|18 29|serum albumin
P08491383A1291|17 29|alpha-subunit
P10190324A0000|17 27|elastin gene
P08643513A0361|18 28|rOC promoter
P07590283A0820|17 27|chimeric TdT
P07665187A0824|18 27|S1 nuclease
P01392012A0228|19 29|vasopressin
P00331128A0000|17 26|calcitonin
P08900296A0000|18 27|E-selectin
P09988682T0033|18 26|human cDNA
P08670853A0000|18 27|E-cadherin
P08242861A0368|18 24|A alpha C
P01904437A0000|18 25|metH gene
P06796300A0759|18 26|prolactin
P07499401A0444|18 24|hnRNPs H
P08099443A0359|16 23|dsRNA-PK
P02131652A0883|18 24|gastrin
P10704853T0000|18 24|Bozozok
P08566751A0788|18 24|gHoxb-1
P08806491A0542|18 24|ODV-E18
P09469415A1337|18 23|beta 2m
P08648665A1320|17 21|ORF E6
P09755191A0553|17 22|swa5-1
P11524015A0937|18 23|BZAP45
P11038366A1417|18 23|Pph21p
P09718372T0000|17 22|MAPKKK
P10441243A0443|19 24|leptin
P10373523A0924|18 23|p50E4F
P11116131A0863|18 23|P2Y(11
P03150015T0001|18 22|non-A
P09760243A0970|19 23|ATF-2
P08407784A0850|18 22|recJ+
P07797476A1001|17 21|TFIIF
P08917435A0481|17 21|c-Jun
P08430095A0913|18 22|Smd1p
P09710599A0310|17 21|ets-2
P02714852T0000|18 22|HLA-B
P07528531A0904|18 22|G-CSF
P09611234A0098|20 24|Mxi-1
P10890911A0470|17 21|Smad3
P07933076A0211|18 22|EBNA2
P08892757T0000|18 22|Elk-3
P07500950A0000|18 22|trolC
P07499252A0150|18 21|hGMR
P07521009A0377|18 21|pms2
P09751114A0967|18 21|MyoD
P07695629A0489|17 20|mds1
P09199286A0086|17 20|mkh1
P11566996A1391|17 20|uvrA
P09806546A1270|18 21|RFX5
P10618645A0750|18 21|AP-1
P09726987T0000|19 22|GCN5
P09710582A0535|16 19|AP-1
P09351823A0414|17 20|MAPK
P09079928A1319|17 20|OxyR
P08643646A0479|18 21|verA
P02293019A0000|20 22|ALP
P07964458A0179|17 19|Bcg
P08589735A0577|18 20|GUS
P08483479A1056|17 19|PTH
P08676454A0731|18 20|Pra
P08212571A0597|18 20|tat
P07890674A0916|17 19|APC
P07519481A1275|19 21|pan
P08091669A0828|18 20|P35
P08634420A1784|18 20|Epo
P08776901A0000|19 21|chm
P09763446A0000|17 19|Ypt
P09584194A0000|18 20|Efs
P11158236A0000|18 20|NGF
P08985122A0501|18 19|P1
P09638342T0000|17 18|L1
P01421390T0000|18 79|recombinant human granulocyte-macrophage colony-stimulating factor
P01986360A0000|19 57|interferon response element binding factors
P11069075T0000|19 52|Xenopus laevis CXC chemokine receptor 4
P09169593T0000|19 54|mitogen-activated protein kinase kinase
P10702253A0357|18 53|reverse transcriptase-polymerase chain
P10082554T0000|19 46|c-myc promoter binding protein 1
P07760841A0647|17 44|ADH2 upstream regulatory region
P09393875A0873|18 45|human papillomavirus late mRNAs
P09565576T0000|18 44|eukaryotic DNA topoisomerase I
P09813063T0000|18 44|murine phospholipase D homolog
P07719527T0000|19 44|recombinant hirudin CGP 39393
P11208017A0070|18 43|C2H2-type zinc finger protein
P08833653A0304|17 40|LIM domain homeobox protein
P07929560T0000|19 43|plakoglobin-binding domain
P09765394A1590|19 42|helicase-primase proteins
P09058378A1134|20 42|glucocorticoid receptors
P01464606A0344|19 37|alpha 5 beta 1 integrin
P09582953A1670|18 37|plasminogen, alpha 2AP
P07828600A0095|17 36|stage selector element
P02033038A0309|18 36|human E3 polypeptides
P10478848A0331|17 35|N-terminal AF1 domain
P08876167A0322|19 36|DNA-binding subunit
P00377466A0188|19 36|luteinizing hormone
P11113201A1114|16 32|six-protein family
P11028131T0000|20 36|interferon beta-1b
P10438950A0580|18 33|AND-34 transcript
P09794795A0183|18 32|receptor complex
P08183915A0000|18 31|105-kDa protein
P10026146A0680|18 31|RIalpha subunit
P01330077A0000|19 30|TCR beta) gene
P02034676A0267|18 30|rhombotin gene
P09155015A0140|17 29|protein kinase
P02595451A1136|18 29|aniridia gene
P11085267A0562|19 30|sconC3 mutant
P10400593A1084|18 29|Plac promoter
P09400613A0594|19 30|PKR(1-515)WT
P07775428A0172|18 27|Ash-m and -s
P10392900A1020|18 28|HIV promoter
P10508522A1598|19 29|TGF-beta RII
P10694511A0570|18 28|yam8(+) cDNA
P10413676A0595|19 28|FAK mutants
P10748125A0000|19 29|inhibitor-2
P10825293T0000|19 28|N-cadherin
P08881036A0351|18 26|VL element
P07565104A0084|18 26|pilin gene
P08208540A0000|19 27|NFKB2 gene
P10871045A1221|18 26|C/EBPbeta
P09792627A0441|18 26|NF-kappaB
P03053713A0752|18 25|DPM1 gene
P01724982A0237|18 25|anti-HCV
P08918464A0225|21 27|F3 pro-B
P01850127A0000|19 25|U2 snRNP
P08034680A0180|19 25|zeta PKC
P10021350A0093|18 25|Wingless
P09515032A1230|19 25|p21 mRNA
P07651131A1407|19 24|DNase I
P09545638A1181|18 24|HRMT1L1
P03921727A0523|19 24|apo A-I
P09230894A0422|18 24|KmMig1p
P10938109A1361|18 24|PKCbeta
P11469701A0377|18 24|insulin
P10543728A0358|18 24|cHa-ras
P07669351A1278|18 22|phi 29
P11709561T0000|17 22|anti-G
P10073940A0335|19 24|d-axin
P02679804A2000|18 22|ura10
P08383622T0000|18 22|NRF-2
P09837945A0820|20 24|Sop1p
P07623821A0649|18 22|HRF-1
P10531446A0203|20 24|ErbB2
P08994832A0782|19 23|Apo-3
P10333529A0277|18 22|Abeta
P08178446A1160|18 22|ICP10
P11058120A0256|18 22|IRF-2
P10542269A0000|20 24|Abeta
P09486531A0638|20 24|HFH-8
P10090943A1426|17 21|CD79b
P09535835A0279|19 23|mDia2
P10637230A0332|19 23|c-myc
P10359014A1077|18 22|Fra-2
P07490083A0000|19 22|CA V)
P01552853A1377|19 22|virF
P10669594A0969|18 21|AgfA
P08001792A0284|18 21|git7
P09139665A0784|18 21|PhLP
P10733569A0364|19 22|HSF1
P01313909A0526|18 21|ICP0
P10187864A1372|19 22|KCC3
P10602502A0422|18 21|Tob2
P09121433A0463|17 20|Smp1
P10544037A0617|18 21|FZD9
P08954725A1175|19 22|Tbx6
P08978690A0262|20 23|Mec1
P11331613A0827|19 22|pVHL
P09712898A0911|19 22|SAPK
P09443972A1145|19 22|GKLF
P08021177A0000|19 22|entF
P10231026A0253|18 21|Elk1
P11094087T0000|19 22|Rnd3
P08406497A0000|19 22|FBN1
P06316347A0852|18 20|rnh
P09191052A0850|17 19|Pbx
P09629449A0540|18 20|ROS
P07841663A0685|20 22|SOD
P10215594A1728|19 21|LUC
P09625762A0426|19 21|E1A
P10734312A0503|19 21|Shc
P10606245A0906|20 22|cut
P08620889A0771|17 19|G+C
P11121434A0915|19 21|Erk
P09639558A0957|18 20|C1q
P02509123A0371|18 20|IFN
P02493644A0588|18 20|jun
P10557308A0000|19 21|KSR
P10597223A0339|20 22|Ras
P09442172A0908|19 21|FSH
P07540773A0576|17 19|MBP
P11457139A0604|18 20|CVN
P11071924A0588|18 20|SH2
P00336354A0543|18 19|GH
P10918572A1547|19 20|WT
P11275986A0091|18 19|E6
P02206858A0000|19 20|PC
P06685643A0179|19 20|C4
P10521447A0606|19 19|B
P11050084A0000|19 63|peroxisome proliferator-activated receptor alpha
P07488247T0000|20 61|aryl hydrocarbon receptor nuclear translocator
P02983331T0000|18 56|endogenous corticotropin-releasing factor
P10805737T0000|20 56|mammalian translation initiation factor 5
P08955159A0000|20 54|(AC) N-acylsphingosine amidohydrolase
P02320008A0651|19 49|striated muscle alpha-tropomyosin
P08836032T0000|20 49|AcMNPV homologous region sequence
P09405685A0113|20 48|DNA binding transcription factor
P09046090T0000|19 45|transcription factor yTAFII60
P07514301A0000|21 46|RNA-dependent protein kinase
P07615541T0000|20 45|DNase-I hypersensitive sites
P11280799A1025|20 43|PTHrP1-34 and 1-86 peptides
P09588228A0370|22 46|anticytokeratin 19 antibody
P01406630A0965|18 40|p65-selected kappa B motif
P01280807A0575|18 41|MetRS/CAU operator complex
P08622893A0000|19 41|receptor tyrosine kinases
P10835355A0225|18 38|zinc finger protein Gis1
P03338154T0000|20 42|tumor-associated trypsin
P10625683A0091|20 41|protein tyrosine kinases
P01409581A0206|18 38|E26 virus-encoded v-ets
P09582953A0000|20 40|coagulation factor VIII
P09321930A0567|19 38|tumor suppressor genes
P09479498A0000|18 37|human RING-finger gene
P03697971A0311|19 39|glutathione peroxidase
P08041362T0000|19 38|cysteine synthase cDNA
P09925777A1195|19 36|hnRNP A1 binding site
P10771528T0036|18 36|alkaline phosphatase
P01633816A0667|18 34|4-kb EcoRI fragment
P01420363T0000|19 34|PEA3 binding sites
P08263933T0000|19 34|P-type ATPase gene
P02869125A0120|20 36|mu-opiate receptor
P01986241A0117|20 34|ACE1 gene product
P09174049A1788|21 35|histone H1 kinase
P02527365T0000|19 34|mos protooncogene
P10799863T0000|20 36|metallopeptidases
P02123820A0000|19 34|monoamine oxidase
